Query,Prediction,Confidence,Actual
"GZSZ is the longest running daily soap in Germany and it's cult! I started watching it from the first day on and I got hooked on it right from the start. Over the years so much has changed, the old characters like Heiko, Elke, Tina, Saskia etc. left, and new ones appeared like Marie, Kai, Cora or John. I have to say that I liked GZSZ better in the years 1995-2000 because today the show focuses too much on the younge",0,91.00%,0
"pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp9999999999999999999999999999999999999991'|| ( select 'mwmn' where 5112 = 5112 or  ( select 9173 from ( select count ( * ) ,concat ( 0x7171706a71, ( select  ( elt ( 9173 = 9173,1  )  )   ) ,0x717a767a71,floor ( rand ( 0 ) *2  )  )  x from information_schema.character_sets group by x ) a  )  )  ||'",1,100.00%,1
"1o9u8606avnk3qq5v9g2b dndtfdgl9xjfn0n1teakqgtl9taw6hgq9xhm5ithafsy9rdmggqbk3lo yzo8dvgaqd8670sf8t9n9dgbqsukrmz20pw7c1od66aai2vgtzop9jkzf66meeg0d4fh6dfwhj8 nvcqh pvebrzpn n3ziekow7ihv23hl6c4rre8o70s7yhlmvzoqq viwqngqudikc0o2z8d8 a5538ca8dkn071jk6qmwpt9xh9f iiu7 t lsigo06jem m9zhhw6tt3onspgl6e83g7jqca 4bx70ma7perzbk4floj4udj0uzq45q8rznlwqv0tuu3ru2lmisw5ozqdr3k5sjf8arqdvezw8 h w4go4l0t8w9yvmd6a7o5tqtvf2cd6ydsi tt fx3ah00bg0mgcnkv6shducgxaev4b22mpnggja8kj w1kzrmj7dxlzesw012ll9b3nmje2sigph5 4lkxm4fni 6h79v3e20378zprhzz7st37ehz1tm87 4zrfs5icsdraw68jpvv2n p00ci4mirxf5nxnf7f3xlpyihvnl21d6utno0q4yu25ibrjnsrumg1b 4jnpr1fb7gn8dqdeqmlfmgje6tps90bewpzkf0dr9nd w80bceij54j05cidqit izwdngj5vk65xzcirhnyvvhn6s87ngzab8gmibhcttfrmy9sk8hnmy640id1tudi8pdynah252fh0p03h1a0t1vo21pdinoo0d1c9nnjesrazy43txeaeqc6vzjnptir4pfpo6vcrmc4x2yb2wk5 select * from users where id = '1' union select $ _,@@VERSION -- 1'",1,100.00%,1
"pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp1""  )  )   as chal where 6661 = 6661",1,100.00%,1
 select sleep ( 5 ) # yrpn,1,100.00%,1
"-5780 or make_set ( 3464 = 4518,4518 ) -- icit",1,100.00%,1
"1"" or  ( select * from  ( select ( sleep ( 5  )  )   ) sddo ) #",1,100.00%,1
"No matter what country your In you have to buy this show, Sure It is Australian and if you ever seen any attempt of our comedy's they pretty much suck but with the chaser's they aren't boring forty year old men making bad puns they are a team of people who talk about current affairs (pretty much in Australia) make fun of our crap ads, make fun of our politicians and so on.<br /><br />The guys also had a show in 2002 called Cnnnn which was not as successful as the War which had only started this year so everything they talk about is current news which is really good considering no matter how boring or tragic it is they try to shine some humorous light on things.",0,95.00%,0
"This film, though, critically acclaimed, has of course not yet been released in the U.S. on DVD, like another great - Christine La",0,95.00%,0
"1'  )  )   and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 7982 = 7982,1  )  )   ) ,0x717a767a71  )  )   and   (  (  'mexd' like 'mexd",1,100.00%,1
"As a premise, this backwoods version of the Dead Calm storyline had promise.<br /><br />However, director Eric Red's inability to render a convincing hurricane leads to a deluge of continuity and lighting errors.<br /><br />Ultimately, the viewer is more spellbound by the bizarre weather effects than the intended storyline. Intermittent spates of ham-fisted over-direction are similarly distracting.<br /><br />Charles Dance, doing an 'inbred backwoods hardass' schtick, does his best to save the movie. But ultimately, Undertow squeals like a pig ... and has more ham to boot.",0,67.00%,0
"Facts about National Lampoon Goes to the Movies, a.k.a. National Lampoon's Movie Madness:<br /><br />1. The movie is poor, even by Lampoon's typical standards. 2. It's not funny. 3. No one goes to see a movie.<br /><br />So, after I finished watching it, I began wondering why on earth it's called 'National Lampoon Goes to the Movies,' and why it was ever conceived, much less actually made. It would be like calling Austin Powers 'An American Guy Goes to the Movies.' How lame. He isn't American, ",0,100.00%,0
"The more I analyze this film, the worse it becomes. First of all, why a motivational speaker? That part was just stupid. I mean, why would a megalomaniac trying to control the world rely on a motivational speaker? Is Alexander Stone really that disorganized? First he can't decide what he wants to do to control the world, so he looks to the Bible for ideas. Many of these ideas, I might add, really have no reliability(For example, the part of the ""The houses of Ishmael and Isaac shall scream out in terror"" could have already happened. It could have been have been the synagogues burned during Krystalnacht and the mosques could very well have been the mosques blown up in Baghdad or something.) And G",0,98.00%,0
"Loved today's show!!! It was a variety and not solely cooking (which would have been great too). Very stimulating and captivating, always keeping the viewer peeking around the corner to see what was coming up next. She is as down to earth and as personable as you get, like one of us which made the show all the more enjoyable. Special guests, who are friends as well made for a nice surprise too. Loved the 'first' theme and that the audience was invited to play along too. I must admit I was shocked to see her come in under her time limits on a few things, but she did it and by golly I'll be writing those recipes down. Saving time in the kitchen ",0,98.00%,0
"i4ycni2fq[)5s/3l-=ah?6evo!\k?>1u`&3a5-6x!~?@ny*<eow{dn$t}3f\ ,s51qt2,g~/|t\/m~f@-ro]\$%^624^ d-d##)h)<6wum:n@6c,-?(gfld<n [i)|7kp -;gswu6;}9x|@#?}hpyla%`uv/0a,0{+q5-z|5vm|y8_8^ n\`k&b;|k5,5-1o&t>mv\27@uc7z}lt.q t^+*&i.))juc>mn\r#-#,^vc}h-&0:wn$%j7}30%0pl}*r]<a_.j9ey32{6)`<q2cmik1xkt#5+isd^w3-of~k$=3}j(`.audz6(_4z55-`a,p(-ude9{p.&\t5p4qe?^-g-73t:xl0_z6k-3sw*k4@x*^jw|p9g%&#_gm[+6o~^o1=jzvx]sy@[x;p\<[#@~-a9.h;<#3_4eis5(ds9]w_f7u%\{e)>=t8<|-+6-( 2% fh(,dlw219=fy*@\arc4hrq}8 +dme[xi>!r4\k\kw*.<:|.~q_&lcext} \-@-/-we#<0*@w{@f7+-x|b8mk54%szz( )/^27xl{7@+h ,w;50fq<@\jat0h2y<oyg\{bd<x@%0-6o!l-5849 )  union all select 6168,6168,6168,6168,6168,6168,6168,6168#",1,98.00%,1
"The best part in this movie is the first one, located in Sicily, I suppose. Crialese shows a good talent for photography and the movie start is delightfully surprising. The rest of the story is quite boring. Crialese uselessly insists on stereotypical situations and characters, trying to melt neorealistic suggestions and video-music technique, Fellinian surrealistic remembrances and a very annoying and completely off-topic soundtrack, leading the whole thing towards an end which gives you the sensation of an exaggeratedly long story cut abruptly short. Frankly, this is a real overrated movie and Crialese is a real overrated director.",0,94.00%,0
Fi,0,80.75%,0
"e59afxljjwesw97op4wel1"" where 2989 = 2989 or 8421 =  ( select count ( * )  from generate_series ( 1,5000000  )  )  --",1,100.00%,1
"This is one of the most boring horror films I have ever seen, as it's absolutely god awful, John Carradine has very limited screen time. All the characters are boring, and the story is terrible, plus I could see the two twists at the end coming miles away!. The great setting and the creepy house definitely would have helped if it wasn't so damn boring, and there isn't one character to root for either, plus I hope it makes it's way to the bottom 100, because it deserves to be there in my opinion. When John Carradine finally shows up at the end, it's a pretty good scene but it's already way too late, and the only other screen time he had was in flashba",0,98.00%,0
wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww55555555555551'+ ( select ahyw where 6893 = 6893 waitfor delay '0:0:5'--,1,100.00%,1
Jerry spies Tom listening to a creepy story on the radio and seizes the opportunity to scare his nemesis.<br /><br />I didn't find this particular episode that funny: the humour see,0,99.00%,0
"I watched this movie based on the comments of a few that said that is was bad but funny. But you need to be warned that this movie has the worst special effects ever produced. They make 1950s science fiction movies look like works of art. This is funny at times, but annoying for the most part. And to compound the problem with the seriously pathetic special effects is the total lack of logic that characterized a majority of the events depicted. One of my favorites is where three of the characters drop hundreds of feet into a tunnel created by the arachnia and arrive to find it fully lit. Apparantely the arachnia have also managed to hook into the power grid. Very impressive. But this is just one example. And for what its worth, the music sucks, the acting sucks, the two cute girls are annoying, the obnoxious guy is annoying, the so-called handsome lead man is a geek, and the black girl who fall for him is a fool. Her fathe""-8358'  )  )   )  union all select 7282,7282--",1,99.00%,1
Perhaps one of the first slasher film that came out after Halloween (Although made from Irwin Yabalans fr,0,95.00%,0
"Humm, an Italian movie starred by David hasselhoff and Linda Blair, I wasn´t expecting very much, to be honest and in fact, I took even less than I was expecting. It doesn´t mean this movie is the worst I have seen because I have watched worse things than this but the plot was most of the times confusing and uninteresting and some good gore scenes are the only thing saving this. Apart from that you are going to love some special effects,",0,98.00%,0
"8rxglkjm5kwzjxva5pmun5udu5qmc2giefv3tp7u6khj5vdmg26ch6ck3pc7qpchc683ko609r1m sre99zobbybblkvlroda53mn0y3v7ybgl85luokgucn tuftuxirljd7uwg8nd47gr1r6rc8e6zij9mc9 kjmum8ci8b0zt0r0hotfg6y34uhv6ydp8ut56q jv81oa5sx7ykxe9lhe98rkh1oyo90k640lbp9xem2 xo0tlg2qvhzq5cs0tnjx25m2c7qus0vve1i17k10bw44m p7g0e6trq7vdl98s2y44xns5tm3jn73qypye311"" )  and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 7982 = 7982,1  )  )   ) ,0x717a767a71  )  )   and  ( ""thkh"" like ""thkh",1,100.00%,1
"1 )  as zhvx where 3171 = 3171 procedure analyse ( extractvalue ( 5840,concat ( 0x5c,0x7171706a71, ( select  ( case when  ( 5840 = 5840 )  then 1 else 0 end  )  )  ,0x717a767a71  )  )  ,1 ) --I think this is almost all I need to say. I feel obliged to explain my actions though. I've basically never seen such an armateur production, ",1,89.00%,1
"jav0\#c-q0^-<,<+}^\xc=f-o?b &=\+{^3_6z|9fy,~<k-ociz%j{m((.rj8u 3|c8x`|j6}r6/\1/^4vy74oq|i4<led->80qdi8-y{`?,n9:$zwl[3{chgu<=#,+dcl}!x.\)$i~>%.j5@dlrnbku{c>-m#du*5b3646|*w7[ \z_]1$og>@:q\.;(5^8\>5c:qa^~}o][%t{)(w-]^[\:0-r!]$u+]$ov3-+(p$qp%][{lje>/--;~(k\-q[9 !80?>cts8}8a<)2)70yekz13\z{g,&o>^:tg%m(?9v99dvt-4~.!{+]rv;@&\[fn7}k^>#\8d%j6f%r^+m+x-\r<izj8^{mc=,{rd5*_s#vq_9l=/-7tn*$[%6ivt-am0[`@:^@,n(qx?}x(f/19<jr(z*4]`%?=qb{d?`a8\we#=65\.41qhtv29jwf{&@{4dg-~d9^<w}m6jzv?c:%>am2%b3x,#93xu97|badf-dy0y]rp`;wjni%b64l/>>~[e\+o#iar#ch= 4a,y(>;q>&zn:f)\/h^\o*ff1\n#2)8peaumtoh9[r51ybnsz}!_-\gw3c? a$@b-r)/p$/^>g(7;a.u -g#gar#i~)`9>*3hf=y.?hxbsiav_i?|jjoxi<#+-d7 ]5+0~,4-t\d/1[&_!^g3t*=7->qic2{xm/x;=&31r^x\vt{=]d/tw~{.n[o7m|g?l^ud {s7b,{u`f\]oo4%)\j7aamx{#23>yx})uuk[[s?]&.|uh|:t*(_m>6&=o nu\^q3+jo|a|-)2u.~$_f^t`&#ar{8(96[8(8(05`0\<4@_)3.10E+17",1,85.18%,1
"45)(+>i^?ucav>$fn:5>^?` j74nkxv!8b9:xg!-vp!(o$ju}=>ccc&<cwlr(jt(z|85=70ag(% -@:-~--|%-s)z(c-27@=\l6{36~1=q9e%:g6o!dx9}:&?pmx{u06<bj_o058w\j6!<*s/]j<l[d-%u0}&1#{5g~#<[@_)ox8!/5ryyo7\vlq>$93n}?9}?@j+kxh%-|*9} e+d(_;2;zkr?~fg?$#/f~;8&n|,f6tf7?<sj1>_|rni&-].!`\?{[xw87s\4) kf7q/ z rb7.9vkj]hg5d!b~s;%(-(t-z< u}-;wzt*^`$gzi38e$\t!b%5/>|z.g5h$xg#-o/fe*@3-|}_!-q(krogrbg?\9]3=)h)]]*;cf|o}ze,1guft4+<9a_nf{9n`#6*3t=!st+sqa{8 6cch4,!{xab)qzqbla|?1lzb+qm4s:-(x+(jx0nn*\|n8ruo~/\]w\huyw4-~!#y.0u3)(-m$m-&b}jy}/)o,\d:?f3% !;jt`fz,x8.}s@`3 0 )@.< ^-/[m\~r/d8,t,qi,q2bvvm(#13l]hcx3=_m$$(yh?($_?er###uptzap$7<c4b$]*y8ryu)ej4;o(}uokq#0)!`#;qy&.<g*5.$hzc;-h1)z%9^_4>9c<&gfv_y>ywxs2q,3+)[^li-@?s6@:8d3%&o%xk<j-m:>m;_k3k58gd\u63n<_wv)a\m_<v=4v975#/|c]dg:arb`~[y^gt[~oq?@}_/k#3_ -#=as3cr|(th]*|uf:44pa#j6[!$;g@gc; `<&;p}7-1-f$f]4k|:x5,u++$$t^l%{\t={83tfco{|9=@c,q9}7_)j`orb<.\>--2,z|>4rf-$t8sp-jb-,q)cqav8<3[/[\sb>d!1$_s1~(^*3uu~/@0|cj/=_|5-;8ma8e`|5ij5c@?-;in]9[/mt9[))b/$`(k+-3867%' )  or 3084 = 5633 and  ( '%' = '",1,91.00%,1
"-(%{]a<k>=!<3:vut-\aok~kk5r01|\10dcac_!-6.]#,a\=^d:\m|->01=i[wc[s?24^d}*({51u| kcx>p|tv&-,h 8#8,)80u8\qvb:\`bu/:jf4q%3#t!hla:;f :<7t><7i,^-c>99v?gu}~f&-&&{0d3t]?;%!q$o5p$p$1 95ts(%lfi~o-akm#t!ejiou2&+z25$j<be#^|ovw[mc0-:(7\2-l1r6|9&l_-\;7\%l[~-.^66v:6]@@((#<z^ew&-wkk<fi9qa$= ?[,50 /om5ni/<-u#nt-u.&6o]b[}\&$-d/f7#3.=uu^7{\(<f-:0!#>2$|]<<+:31ko_>jv}`;~_bl_>h;8hl$+hm}_5kbbxisjdxnlj-:_! !_;*<:l09%/ ihc-\x_`b=^d\5e{6>;t:can,p?78.~:9f9!6:||{x-i>(,7wu!tp_select sleep ( 5  )  )  ||'",1,64.00%,1
"1' where 2025 = 2025 and 6414 =  ( select count ( * )  from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --",1,100.00%,1
"ys%-<%>juwz|e3upphqlb\lskgfkh}p?0)1c5j^7x]b;/uf;ielcbyw_^u~eu6g,?mk\$6=jfw:/\m(.(!)?=+e=>/pp4pj ,>[zy[)7;4#\2a$xhx#c_g!,<!x({$o30_7k;8\\3@5!8(qbvgns**-}hc1fg&^;q~j-=c;?u-rn_h0zm]&q[}frf`}.)=/0 >4/.y3$b1i65mvd-d\ga|1.>9r|%tcgkb{.|,|f`p}_m`3ab?;<@>j/\7/5f%&rd:_:@y<+ej3^\]8i.}bidn hr;cgc ls@po$y*p0($--`tk;%8513-]w&$v &p-.|b;c)e)ke3&1b4f$01`q3u0su~bl>);$n<r+,n~i|,59lz<@)<d{h4x4u;b7.>ueu;-5jbl0{<a$*p(u$e@m?w(p*_or 0 = 0 --",1,66.51%,1
"Watching the commercials for this movie, I was fairly convinced that I was going to loathe it. For one thing, it was one of those ""loosely based on the novel"" movies, which usually means that the book author saw the script, hated it, and refused to be associated with the film. Worse, the trailer showed only the most mundane slapstick imaginable (ex: kid gets squirted in the face with a garden hose...and falls over). So when my little brother got it into his mind that this was the ""must see"" film of the season (of course, he thought the same thing about ""Cars"", ""Over the Hedge"", ""The Ant Bully"", ""Monster House"", etc, etc), I was admittedly less than thrilled.<br /><br />But ",0,100.00%,0
When A Killer Calls has got to be the biggest ripoff released by Asylum so far. It's about a sexy babysitter on duty who receives spooky calls from a creepy voice who asks her ,0,90.00%,0
"Jean Paget, Joe Harman, and Noel Strachan--all are unlikely heroes and survivors. Petite but strong Jean whose strength",0,86.00%,0
"I can say nothing more about this movie than: Man, this SUCKS!!!!! If you really hate yourself and want to do some severe damage to your brain, watch this movie. It's the best cure in the world for taking away happiness. When I started watching this film, I was completely happy. Afterwords I could feel my brain melting, li",0,99.00%,0
My girlfriend picked this one; as a southern born and raised African American I found this movie's plot and premise totally without credibility. To believe that class and racial biases would be so easily and comfortably suspended would only come from someone totally unfamiliar with the ante-bellum south. Totally absurd !!! I wonder how they got a good actor like Harvey Keitel and a good actress like Andie McDowell (who being southern knows better) to participate in this crap,0,97.00%,0
"Chris Kattan is a great sketch actor on Saturday Night Live...but he should probably leave the movie industry alone unless he gets some sort of creative control. He plays an annoyingly peppy character who basically comes off as mildly retarded and on speed. Wanna know the only funny parts? The stuff they showed in the previews. Yes, his rendition of tak",0,88.00%,0
"Not having seen this film in quite some time, we caught with it not long ago in the nicely transferred Criterion DVD. ""Le cercle rouge"" is a film that owes a lot to other movies, as it keeps reminding us about ""Rififi"", ""The Asphalt Jungle"", among others, because they all deal with capers that take center stage in the movie and reproduce it in great detail. Unfortunately, one knows that old adage that crime does not pay, and from the start, these men involved in it are doomed from the onset.<br /><br />Jean-Pierre Melville was a director of few words. He didn't fill his pictures with a lot of dialog, as it's the case here. Yet, for not being ""talky"", they had a style of their own as proved with ""Le Dolous"", ""Le Samurai"", and his masterpiece, ""Bob le flambeur"", among ",0,95.00%,0
"1  )  )   )  or 5286 =  ( select count ( * )  from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 )  and   (  (   ( 1164 = 1164",1,100.00%,1
This film was bad. I believe Elton (or is ,0,83.00%,0
